"site","transect","plot","crown_severity","latitude","longitude"
"FRK",1,"200",1.22,61.8207731095918,130.238135443798
"FRK",1,"25",1.91044776119403,61.8203884123696,130.234840117634
"FRK",1,"50",1.38297872340426,61.8204583918536,130.235295947846
"FRK",1,"75",1.54929577464789,61.8204979598433,130.235694136327
"FRK",2,"-50",NA,61.8194147270784,130.253758137214
"FRK",3,"-25",NA,61.8420327168924,130.246273001776
"FRK",3,"150",2.01515151515152,61.8420638842353,130.243007934089
"FRK",3,"25",1.75,61.8419858225078,130.245341286063
"FRK",3,"75",2.2093023255814,61.842004017621,130.244480296969
"FU",1,"-15",NA,NA,NA
"FU",1,"-35",NA,NA,NA
"FU",2,"-35",NA,67.6522565167397,155.402398975566
"FU",2,"-60",NA,67.6521089952439,155.402755625545
"FU",2,"100",0.888888888888889,67.6531331799924,155.400381954386
"FU",2,"150",0.9,67.6534726470708,155.399534795433
"FU",2,"200",2.1,67.6538074202835,155.398844545707
"FU",2,"25",NA,67.6526223868131,155.401482665911
"FU",2,"50",1.6,67.6527670584619,155.401133727282
"FU",2,"75",1.41176470588235,67.6529496163129,155.400709351524
"FU",3,"-25",NA,67.649648990482,155.361549770459
"FU",3,"-50",NA,67.6494341623038,155.361356567591
"FU",3,"100",2.75757575757576,67.6507702376693,155.36322732456
"FU",3,"150",2.31578947368421,67.6511468365788,155.363700315356
"FU",3,"200",1.75,67.651512203738,155.36417867057
"FU",3,"25",1.7037037037037,67.6502240728586,155.362447723746
"FU",3,"50",2.51428571428571,67.6504090614616,155.362693648785
"FU",3,"75",2.57142857142857,67.6505987439304,155.363019453361
"Gonzo",1,"-25",NA,67.5284382887184,154.928710721433
"Gonzo",1,"-50",NA,67.5282761827111,154.928974499925
"Gonzo",1,"100",NA,67.5293723680078,154.927181778475
"Gonzo",1,"150",NA,67.5297196302562,154.92664122954
"Gonzo",1,"200",NA,67.5300549063831,154.925918625667
"Gonzo",1,"25",2.85714285714286,67.5288010574877,154.928104039281
"Gonzo",1,"50",2.56521739130435,67.5290074199438,154.927697014063
"Gonzo",1,"75",2.54838709677419,67.5291810091584,154.92745578289
"Gonzo",2,"-15",NA,67.5504870526492,154.890121947973
"Gonzo",2,"-35",NA,67.5505905691534,154.889879208058
"Gonzo",2,"100",2.75,67.5499831326305,154.892204431816
"Gonzo",2,"150",3,67.5497444998472,154.893133062869
"Gonzo",2,"200",2.85714285714286,67.5495372992008,154.894054317846
"Gonzo",2,"25",1.42857142857143,67.5503083504736,154.890791578218
"Gonzo",2,"50",NA,67.5502024032175,154.891284434124
"Gonzo",2,"75",2.42857142857143,67.5501268822699,154.891831269487
"Gonzo",3,"-50",NA,67.61290255934,155.112013639882
"Gonzo",3,"-75",NA,67.6128702890127,155.11142254807
"Gonzo",3,"100",2.46153846153846,67.6125501003116,155.115292388945
"Gonzo",3,"150",2.36363636363636,67.612426886335,155.116269635036
"Gonzo",3,"200",1.85714285714286,67.6122838072478,155.117327263578
"Gonzo",3,"25",2.4,67.6127649284899,155.113732684403
"Gonzo",3,"50",2.45454545454545,67.6127016451209,155.114235179498
"Gonzo",3,"75",2.33333333333333,67.6126231066882,155.114740943536
"HR",1,"-20",NA,68.7525584646246,161.536098783526
"HR",1,"-50",NA,68.7528690447834,161.535930769055
"HR",1,"100",1.25,68.7515606085751,161.53729318084
"HR",1,"150",2.16666666666667,68.7512062782831,161.537590435965
"HR",1,"200",NA,68.7508679338849,161.537999161762
"HR",1,"25",2.18181818181818,68.7521945036598,161.536565479612
"HR",1,"50",2.27272727272727,68.7520029997861,161.536763297371
"HR",1,"75",1.71428571428571,68.7517701741955,161.537077206413
"HR",2,"-25",NA,68.7486572620457,161.528984430451
"HR",2,"-50",NA,68.7486806819984,161.528181371341
"HR",2,"100",0.2,68.7485489915161,161.532558379024
"HR",2,"150",2.5,68.7485442812323,161.533805923991
"HR",2,"200",2,68.7485097391207,161.535010151426
"HR",2,"25",1.1,68.7486132005825,161.530431101757
"HR",2,"50",1.2,68.7485898139339,161.531037933594
"HR",2,"75",2.33333333333333,68.7485631223615,161.531813317446
"Korova",1,"-25",NA,61.9975472560018,131.819306991513
"Korova",1,"150",2.80434782608696,61.9966934770199,131.822248742047
"Korova",1,"25",2.575,61.9973139143012,131.820118473644
"Korova",1,"75",2.85714285714286,61.9970635479804,131.820964053523
"Maya",2,"-25",NA,61.9555328937158,130.170788635319
"Maya",2,"150",1.65789473684211,61.9550297146286,130.167479914495
"Maya",2,"25",1.64444444444444,61.9554344588902,130.169793036918
"Maya",2,"75",1.82352941176471,61.9552839480791,130.168874933716
"Maya",3,"-40",NA,NA,NA
"Maya",3,"25",2.95454545454545,61.9668565272627,130.132484708928
"ROB",1,"-25",NA,61.872700698083,130.479770357014
"ROB",1,"150",1.59090909090909,61.8740889625092,130.477828843428
"ROB",1,"25",2.83783783783784,61.8730785765235,130.479289640183
"ROB",1,"75",1.83783783783784,61.8734745152968,130.478489740918
"ROB",2,"-25",NA,61.8508718293053,130.424213199508
"ROB",2,"150",1.30769230769231,61.8523880921912,130.42607590498
"ROB",2,"25",2.08333333333333,61.8512715597505,130.424718129347
"ROB",2,"75",1.40983606557377,61.8518210755221,130.425368357713
"ROB",3,"-25",NA,61.856923812553,130.410609259115
"ROB",3,"150",2.72727272727273,61.8574662769191,130.413492918644
"ROB",3,"25",2.34210526315789,61.8570876664381,130.411415334703
"ROB",3,"75",2.06,61.8572228850038,130.412231528394
"Shark",1,"-25a",NA,67.9951279889792,156.975228823721
"Shark",1,"-25b",NA,67.9949339479207,156.975415321066
"Shark",1,"100",1.92,67.9943477176129,156.972705367952
"Shark",1,"25",2.56521739130435,67.9946974944323,156.974305389449
"Shark",1,"50",2.57692307692308,67.9945579357445,156.973759308457
"Shark",1,"75",2.44827586206897,67.9944666568189,156.973233344033
"Shark",2,"-25",NA,67.9937481600791,156.970696980133
"Shark",2,"-50",NA,67.9938619863241,156.970430351793
"Shark",2,"25",1.54761904761905,67.9933618381619,156.9711967092
"Shark",2,"50",1.30434782608696,67.9932163283228,156.971536846831
"Shark",3,"-25",NA,67.9930851515382,156.923660505563
"Shark",3,"-50",NA,67.9931194335222,156.923230849206
"Shark",3,"100",1.6,67.9929269012063,156.926571791991
"Shark",3,"150",1.66666666666667,67.9928074590861,156.927661858499
"Shark",3,"200",1.14285714285714,67.9927258193492,156.928854770958
"Shark",3,"25",1.4,67.9930516239255,156.924707489088
"Shark",3,"300",2.77777777777778,67.9925690777599,156.93111218512
"Shark",3,"400",2.35,67.992421220988,156.933421818539
"Shark",3,"50",1,67.9930189345031,156.925339652225
"Shark",3,"75",1,67.9929792042821,156.925958320498
