"site","transect","plot","crown_severity","latitude","longitude"
"Alnus",1,"-25",NA,68.1088166253242,161.33598311213
"Alnus",1,"-50",NA,68.108849702969,161.335483737463
"Alnus",1,"100",1.68,68.1089413570341,161.338460318981
"Alnus",1,"150",0.313953488372093,68.1089867744487,161.339630882297
"Alnus",1,"200",0.757575757575758,68.1090514543606,161.340760346095
"Alnus",1,"25",0,68.1088009116271,161.336732268923
"Alnus",1,"50",0.394736842105263,68.1088570898927,161.337292590331
"Alnus",1,"75",0.333333333333333,68.1089097568922,161.33783878599
"ANS",1,"-25a",NA,67.860250089366,161.684300663363
"ANS",1,"-25b",NA,67.8603133654787,161.68377830587
"ANS",1,"100",3,67.8613379888952,161.683568188068
"ANS",1,"150",2.22222222222222,67.8618315101105,161.683614473729
"ANS",1,"25",1.21739130434783,67.8606309800925,161.683400161129
"ANS",1,"250",2.86666666666667,67.863037161744,161.683970187209
"ANS",1,"50",2.5,67.8608548222285,161.683459557915
"ANS",1,"75",2.22222222222222,67.8611009718741,161.683486507491
"ANS",2,"-25",NA,67.8119188841142,161.898233112293
"ANS",2,"-50",NA,67.8118185056585,161.898081582426
"ANS",2,"100",1.5,67.812680620585,161.899969495526
"ANS",2,"150",1.8,67.8130230186678,161.900600455957
"ANS",2,"200",2.57575757575758,67.8133269513926,161.90139288264
"ANS",2,"25",1,67.8121669402816,161.89899851347
"ANS",2,"50",1,67.8123307127033,161.899343503287
"ANS",2,"75",1,67.8125117648887,161.89965401531
"ANS",3,"-25a",NA,67.8140731141055,161.771425966412
"ANS",3,"-25b",NA,67.8138696733756,161.771471727809
"ANS",3,"100",0.6,67.8145556198352,161.7739045757
"ANS",3,"150",1.33333333333333,67.8147457676711,161.775108750748
"ANS",3,"200",1.875,67.8150123854002,161.776159667153
"ANS",3,"25",1.85,67.8143406682442,161.772273465863
"ANS",3,"50",1.78125,67.8144316095433,161.772853659295
"ANS",3,"75",1.40625,67.8145018821228,161.77334627636
"BP",1,"-25a",NA,68.3218631865607,160.647480874151
"BP",1,"-25b",NA,68.321859058586,160.647989569847
"BP",1,"100",2.4,68.3209016908145,160.645027537864
"BP",1,"150",2.33333333333333,68.3205693908634,160.644183926668
"BP",1,"200",2.90909090909091,68.3202611912386,160.643074647857
"BP",1,"25",2.2,68.3214405360862,160.646552927244
"BP",1,"50",2.27272727272727,68.3212608240592,160.64610246758
"BP",1,"75",2.8,68.321096247603,160.645572855599
"BP",2,"-25a",NA,68.3229757802889,160.654190920152
"BP",2,"-25b",NA,68.323067222615,160.654732238746
"BP",2,"100",3,68.3228217985687,160.657476483255
"BP",2,"150",2.77777777777778,68.3227220129497,160.658737161791
"BP",2,"200",2.35294117647059,68.3226803996952,160.660019030423
