"site","transect","plot","recruit_aspen_density","recruit_birch_density","recruit_pine_density","recruit_larch_density","standing_dead_density","dead_larch_density","dead_tree_density","live_larch_density","live_tree_density","recruit_density"
"FRK",1,"25",146423,146423,23077,46155,5857,7512,7512,891,1019,362078
"FRK",1,"50",165521,165521,10345,23873,2674,3183,3310,1655,2674,365260
"FRK",1,"75",108225,108225,5570,39789,1146,4966,5220,1910,3820,261809
"FRK",2,"-50",0,0,11937,53317,382,382,382,2674,3565,65254
"FRK",3,"-25",0,0,0,0,199,199,199,11937,11937,0
"FRK",3,"150",22282,22282,1592,11141,1393,9151,9151,796,3979,57297
"FRK",3,"25",19099,19099,0,39789,0,2785,2785,796,1989,77987
"FRK",3,"75",796,796,1592,55704,995,6167,6366,1194,2188,58888
"FU",1,"-15",0,0,0,0,1061,1061,1061,1768,1768,0
"FU",1,"-35",0,0,0,0,707,707,707,7781,7781,0
"FU",2,"-35",0,0,0,796,2476,2476,2476,17330,17330,796
"FU",2,"-60",0,0,0,14324,637,637,637,5348,5348,14324
"FU",2,"100",0,0,0,0,4244,4244,4244,2122,2122,0
"FU",2,"150",0,0,0,0,764,891,891,382,382,0
"FU",2,"200",0,0,0,6366,6013,6720,6720,354,354,6366
"FU",2,"25",0,0,0,796,6366,7003,7003,2292,2292,796
"FU",2,"50",0,0,0,2387,4244,5305,5305,1768,1768,2387
"FU",2,"75",0,0,0,0,4598,4951,4951,1061,1061,0
"FU",3,"-25",0,0,0,0,382,382,382,1273,1273,0
"FU",3,"-50",0,0,0,0,891,891,891,2546,2546,0
"FU",3,"100",0,0,0,0,10964,11671,11671,0,0,0
"FU",3,"150",0,0,0,0,10964,13440,13440,0,0,0
"FU",3,"200",0,0,0,0,7074,7074,7074,0,0,0
"FU",3,"25",0,0,0,0,8842,8842,8842,707,707,0
"FU",3,"50",0,0,0,15915,10610,12379,12379,0,0,15915
"FU",3,"75",0,0,0,0,2122,7427,7427,0,0,0
"Gonzo",1,"-25",0,0,0,0,3537,4244,4244,4951,4951,0
"Gonzo",1,"-50",0,0,0,0,354,1415,1415,7781,7781,0
"Gonzo",1,"100",0,0,0,0,1415,6720,6720,0,0,0
"Gonzo",1,"150",0,0,0,0,354,11318,11318,0,0,0
"Gonzo",1,"200",0,0,0,0,1061,4598,4598,0,0,0
"Gonzo",1,"25",0,0,0,0,1061,2476,2476,0,0,0
"Gonzo",1,"50",0,0,0,0,3537,8135,8135,0,0,0
"Gonzo",1,"75",0,0,0,0,4244,10964,10964,0,0,0
"Gonzo",2,"-15",0,0,0,0,9196,9196,9196,7781,7781,0
